Model,Position,Test_R2,Test_MAE
Random Forest,Forward,0.5044878478934377,3.1773612573294874
XGBoost,Forward,0.9912492771063511,0.3809919728111362
Neural Network,Forward,0.922930844381834,1.4938891121017412
Ensemble,Forward,0.9957593756396822,0.2292507429926985
Random Forest,Midfield,0.9002049508097425,1.0459732549782905
XGBoost,Midfield,0.9573571567193261,0.8329179279431344
Neural Network,Midfield,0.7765919858743792,1.8983281944427577
Ensemble,Midfield,0.9537695363178277,0.8407070964272814
Random Forest,Defense,0.8883627615188989,1.077072718009085
XGBoost,Defense,0.9764430815421326,0.4589922941849177
Neural Network,Defense,0.8460588759479556,1.2456098306731234
Ensemble,Defense,0.9689604445577144,0.5405206633962274
Random Forest,Goalkeeper,0.9900915491424337,0.1966044651169366
Neural Network,Goalkeeper,0.395241891654614,2.1860138366639887
Ensemble,Goalkeeper,0.9942344741942425,0.19524878445568217
