Player,Position_Group,Season,Avg_Performance_Score,Total_Minutes
Andriy Lunin,Goalkeeper,2023-24,73.32758620689656,2640
Andriy Lunin,Goalkeeper,2024-25,81.51777777777778,810
Antonio Rüdiger,Defense,2023-24,50.0,3749
Antonio Rüdiger,Defense,2024-25,50.0,3471
Arda Güler,Forward,2023-24,0.0,14
Arda Güler,Forward,2024-25,10.0,1
Arda Güler,Midfield,2023-24,50.0,33
Arda Güler,Midfield,2024-25,50.0,527
Aurélien Tchouaméni,Defense,2023-24,50.0,576
Aurélien Tchouaméni,Defense,2024-25,50.0,1216
Aurélien Tchouaméni,Midfield,2023-24,50.0,1376
Aurélien Tchouaméni,Midfield,2024-25,50.0,1100
Brahim Díaz,Defense,2023-24,50.0,45
Brahim Díaz,Forward,2023-24,4.315700719264269,321
Brahim Díaz,Forward,2024-25,0.0,5
Brahim Díaz,Midfield,2023-24,50.0,580
Brahim Díaz,Midfield,2024-25,50.0,536
Chema,Midfield,2024-25,50.0,12
Dani Carvajal,Defense,2023-24,50.0,3009
Dani Carvajal,Defense,2024-25,50.0,699
Dani Carvajal,Midfield,2023-24,50.0,8
Dani Ceballos,Forward,2023-24,0.0,11
Dani Ceballos,Midfield,2023-24,50.0,626
Dani Ceballos,Midfield,2024-25,50.0,1272
David Alaba,Defense,2023-24,50.0,1224
David Alaba,Defense,2024-25,50.0,492
Eduardo Camavinga,Defense,2023-24,50.0,262
Eduardo Camavinga,Defense,2024-25,50.0,203
Eduardo Camavinga,Midfield,2023-24,50.0,1888
Eduardo Camavinga,Midfield,2024-25,50.0,1136
Endrick,Forward,2024-25,5.28442656038186,401
Endrick,Midfield,2024-25,50.0,5
Federico Valverde,Defense,2024-25,50.0,549
Federico Valverde,Midfield,2023-24,50.0,2667
Federico Valverde,Midfield,2024-25,50.0,1088
Ferland Mendy,Defense,2023-24,50.0,2592
Ferland Mendy,Defense,2024-25,50.0,1800
Fran,Goalkeeper,2024-25,89.0,90
Fran Garcia,Defense,2023-24,50.0,1494
Fran Garcia,Defense,2024-25,50.0,2368
Fran Garcia,Midfield,2023-24,50.0,3
Fran Garcia,Midfield,2024-25,50.0,1
Gonzalo García,Forward,2023-24,0.0,6
Gonzalo García,Forward,2024-25,4.705882352941177,17
Jacobo Ramón,Defense,2024-25,50.0,217
Jesús Vallejo,Defense,2024-25,50.0,138
Joselu,Forward,2023-24,3.4872970910523873,1922
Jude Bellingham,Forward,2023-24,6.666666666666666,74
Jude Bellingham,Midfield,2023-24,50.0,1937
Jude Bellingham,Midfield,2024-25,50.0,2436
Kepa Arrizabalaga,Goalkeeper,2023-24,74.40222222222222,1558
Kylian Mbappé,Forward,2024-25,8.481814686117854,3675
Lorenzo Aguado,Defense,2024-25,50.0,5
Lucas Vázquez,Defense,2023-24,50.0,1683
Lucas Vázquez,Defense,2024-25,50.0,2564
Lucas Vázquez,Forward,2023-24,2.5,8
Lucas Vázquez,Midfield,2023-24,50.0,24
Lucas Vázquez,Midfield,2024-25,50.0,15
Luka Modrić,Forward,2023-24,7.272727272727273,21
Luka Modrić,Midfield,2023-24,50.0,1586
Luka Modrić,Midfield,2024-25,50.0,1374
Mario Martín,Midfield,2023-24,50.0,18
Nacho,Defense,2023-24,50.0,2546
Nicolás Paz,Forward,2023-24,0.0,3
Nicolás Paz,Midfield,2023-24,50.0,58
Raúl Asencio,Defense,2024-25,50.0,2228
Raúl Asencio,Midfield,2024-25,50.0,1
Rodrygo,Forward,2023-24,6.223208933721539,2698
Rodrygo,Forward,2024-25,6.978404737025428,171
Rodrygo,Midfield,2024-25,50.0,412
Thibaut Courtois,Goalkeeper,2023-24,79.888,422
Thibaut Courtois,Goalkeeper,2024-25,68.97380952380952,3810
Toni Kroos,Midfield,2023-24,50.0,2372
Vinicius Júnior,Forward,2023-24,5.704571344047815,1731
Vinicius Júnior,Forward,2024-25,5.020440907037011,1294
Víctor Muñoz,Midfield,2024-25,50.0,3
Álvaro Rodríguez,Forward,2023-24,10.0,1
Éder Militão,Defense,2023-24,50.0,509
Éder Militão,Defense,2024-25,50.0,1219
