id,player_name,team_name,position,age,nationality,player_url,season,scraped_at
1,Joško Gvardiol,Manchester City,DF,22,hr CRO,https://fbref.com/en/players/5ad50391/Josko-Gvardiol,2023-24,2025-07-10 03:54:00
2,Erling Haaland,Manchester City,FW,24,no NOR,https://fbref.com/en/players/1f44ac21/Erling-Haaland,2023-24,2025-07-10 03:54:00
3,Bernardo Silva,Manchester City,"MF,FW",29,pt POR,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva,2023-24,2025-07-10 03:54:00
4,Ederson,Manchester City,GK,30,br BRA,https://fbref.com/en/players/3bb7b8b4/Ederson,2023-24,2025-07-10 03:54:00
5,Rúben Dias,Manchester City,DF,27,pt POR,https://fbref.com/en/players/31c69ef1/Ruben-Dias,2023-24,2025-07-10 03:54:00
6,İlkay Gündoğan,Manchester City,MF,33,de GER,https://fbref.com/en/players/819b3158/Ilkay-Gundogan,2023-24,2025-07-10 03:54:00
7,Mateo Kovačić,Manchester City,MF,30,hr CRO,https://fbref.com/en/players/79c0821a/Mateo-Kovacic,2023-24,2025-07-10 03:54:00
8,Manuel Akanji,Manchester City,DF,29,ch SUI,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,2023-24,2025-07-10 03:54:00
9,Rico Lewis,Manchester City,"DF,MF",19,eng ENG,https://fbref.com/en/players/b57e066e/Rico-Lewis,2023-24,2025-07-10 03:54:00
10,Sávio,Manchester City,"FW,MF",20,br BRA,https://fbref.com/en/players/fe6e7156/Savio,2023-24,2025-07-10 03:54:00
11,Phil Foden,Manchester City,"MF,FW",24,eng ENG,https://fbref.com/en/players/ed1e53f3/Phil-Foden,2023-24,2025-07-10 03:54:00
12,Kevin De Bruyne,Manchester City,"MF,FW",33,be BEL,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,2023-24,2025-07-10 03:54:00
13,Matheus Nunes,Manchester City,"DF,MF",25,pt POR,https://fbref.com/en/players/e6af02e0/Matheus-Nunes,2023-24,2025-07-10 03:54:00
14,Jeremy Doku,Manchester City,"FW,MF",22,be BEL,https://fbref.com/en/players/fffea3e5/Jeremy-Doku,2023-24,2025-07-10 03:54:00
15,Omar Marmoush,Manchester City,"FW,MF",25,eg EGY,https://fbref.com/en/players/0e0102eb/Omar-Marmoush,2023-24,2025-07-10 03:54:00
16,Stefan Ortega,Manchester City,GK,31,de GER,https://fbref.com/en/players/c1242d4e/Stefan-Ortega,2023-24,2025-07-10 03:54:00
17,Kyle Walker,Manchester City,DF,34,eng ENG,https://fbref.com/en/players/86dd77d1/Kyle-Walker,2023-24,2025-07-10 03:54:00
18,Nicolás González,Manchester City,MF,22,es ESP,https://fbref.com/en/players/2c56a792/Nicolas-Gonzalez,2023-24,2025-07-10 03:54:00
19,Nathan Aké,Manchester City,DF,29,nl NED,https://fbref.com/en/players/eaeca114/Nathan-Ake,2023-24,2025-07-10 03:54:00
20,Jack Grealish,Manchester City,"FW,MF",28,eng ENG,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish,2023-24,2025-07-10 03:54:00
21,John Stones,Manchester City,"DF,MF",30,eng ENG,https://fbref.com/en/players/5eecec3d/John-Stones,2023-24,2025-07-10 03:54:00
22,Nico O’Reilly,Manchester City,DF,19,eng ENG,https://fbref.com/en/players/91ca4a16/Nico-OReilly,2023-24,2025-07-10 03:54:00
23,Abdukodir Khusanov,Manchester City,DF,20,uz UZB,https://fbref.com/en/players/d17ce930/Abdukodir-Khusanov,2023-24,2025-07-10 03:54:00
24,James Mcatee,Manchester City,"MF,FW",21,eng ENG,https://fbref.com/en/players/96593e89/James-Mcatee,2023-24,2025-07-10 03:54:00
25,Jahmai Simpson-Pusey,Manchester City,DF,18,eng ENG,https://fbref.com/en/players/383b10fd/Jahmai-Simpson-Pusey,2023-24,2025-07-10 03:54:00
26,Rodri,Manchester City,MF,28,es ESP,https://fbref.com/en/players/6434f10d/Rodri,2023-24,2025-07-10 03:54:00
27,Divin Mubama,Manchester City,FW,19,eng ENG,https://fbref.com/en/players/92868cb5/Divin-Mubama,2023-24,2025-07-10 03:54:00
28,Oscar Bobb,Manchester City,FW,21,no NOR,https://fbref.com/en/players/eed2427e/Oscar-Bobb,2023-24,2025-07-10 03:54:00
29,Claudio Echeverri,Manchester City,FW,18,ar ARG,https://fbref.com/en/players/49a605df/Claudio-Echeverri,2023-24,2025-07-10 03:54:00
30,Vitor Reis,Manchester City,DF,18,br BRA,https://fbref.com/en/players/c4ce0ab5/Vitor-Reis,2023-24,2025-07-10 03:54:00
31,Max Alleyne,Manchester City,DF,19,eng ENG,https://fbref.com/en/players/defcfd32/Max-Alleyne,2023-24,2025-07-10 03:54:00
32,Thorsten Brits,Manchester City,GK,17,eng ENG,https://fbref.com/en/players/d5837248/Thorsten-Brits,2023-24,2025-07-10 03:54:00
33,Scott Carson,Manchester City,GK,38,eng ENG,https://fbref.com/en/players/3e1550ee/Scott-Carson,2023-24,2025-07-10 03:54:00
34,Issa Kaboré,Manchester City,"DF,MF",23,bf BFA,https://fbref.com/en/players/c066d1a5/Issa-Kabore,2023-24,2025-07-10 03:54:00
35,Josh Wilson-Esbrand,Manchester City,DF,21,eng ENG,https://fbref.com/en/players/c19a2df1/Josh-Wilson-Esbrand,2023-24,2025-07-10 03:54:00
36,Jacob Wright,Manchester City,MF,18,eng ENG,https://fbref.com/en/players/b6db05c3/Jacob-Wright,2023-24,2025-07-10 03:54:00
